Market ID,Market Name,Market Description,Lockup Time (in seconds),Input Token ID,Input Token Name,Input Token Symbol,Input Token Decimals,Input Raw Amount (in Wei),Input Token Amount (in decimals),Input Token Amount (in USD),Incentive Token ID,Incentive Token Name,Incentive Token Symbol,Incentive Token Decimals,Incentive Raw Amount (in Wei),Incentive Token Amount (in decimals)
1_0_0x1e0a98a276ba873cfa427e247c7d0e438f604a54fcb36481063e1220af021faf,Supply USDC on Dolomite,Supply USDC into the Dolomite money market on Berachain. This asset will earn lending yield.,7776000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,29283486404483,29283486.404483,29271755.639494345,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,2635514526403470000000000,2635514.52640347
1_0_0xe92ebafbee7aa7a636ff62e04aa2ab9353f60ef72dcdcfdfcf48b67a7ad8ffc7,Beraborrow SBTC Boyco,"Single sided Liquid Stability Pool:
Deposit SBTC into Boyco. SBTC is bridged &amp; deposited into Beraborrow. SBTC is then used to mint NECT at 300% collateral ratio, and then NECT is supplied into the Liquid Stability Pool.
This is part of the Berachain Boyco pre-deposit campaign",7776000,1-0x094c0e36210634c3cfa25dc11b96b562e0b07624,StakeStone Bitcoin,SBTC,18,91941311706835225426,91.941311706835225426,8629534.535552638,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,389294192076885244000000000,389294192.076885244
1_0_0x2fa37184f43783f5d6b23548c4a7a21bb86cd2f314bba9d5bb7d2415d61d11c8,Provide pumpBTC.bera-ylBTCLST Liquidity on Kodiak,"Deposit pumpBTC.bera-ylBTCLST Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, provide liquidity in the pumpBTC.bera-ylBTCLST Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Cian, PumpBTC, and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.    

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~1x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x8a05bc1665059d5e19e30a66cf077f090f88609f,CIAN YIELD Layer fBTC-pumpBTC.bera LP Token,ylBTCLST-pumpBTC.bera,18,9891748362,0.000000009891748362,18936652.81230248,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,199809080959883650000000000,199809080.95988365
1_0_0xabf4b2f17bc32faf4c3295b1347f36d21ec5629128d465b5569e600bf8d46c4f,Veda x Ether.fi eBTC Vault - LBTC Supply,"After mainnet, vaults will run DeFi strategies on Berachain protocols participating in Boyco. Examples of applications include: Kodiak, Infrared, and Dolomite. eBTC supplied will be converted to eBTC on mainnet for DeFi usage.",7776000,1-0x8236a87084f8b84306f72007f36f2618a5634494,Lombard Staked BTC,LBTC,8,303463850692,3034.63850692,295395060.95393693,1-0x3badc21d6bff9248ae4c3923093e04d505a52fef,Veda Crayons,VCrayons,18,273117461122950000000000000,273117461.12295
1_0_0xff917303af9337534eece4b88948d609980b66ca0b41875da782aec4858cade5,Supply pumpBTC on Dolomite,Supply pumpBTC into the Dolomite money market on Berachain. This asset will be collateral only.,2592000,1-0xadc9c900b05f39f48bb6f402a1bae60929f4f9a8,pumpBTC.bera,pumpBTC.bera,8,258249797,2.58249797,242391.09717261934,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,3098997564000000000000,3098.997564
1_0_0xad9ee12ea8b3dccf85934c2918bd4ad38ccf7bc8b43d5fcb6f298858aa4c9ca4,"Infrared x Kodiak sUSDe-HONEY LP, Boyco","Deposit sUSDe-USDC Uniswap V2 LP token(s) on Ethereum Mainnet and bridge the assets to Berachain. On Berachain, mint HONEY with all of the USDC, then provide liquidity in the sUSDe-HONEY Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. Finally, stake the Island receipt token in the respective Infrared iBGT-compatible Vault. 
  
Earn DEX LP fees, sUSDe staking yield, as well as rewards from Berachain, Ethena, Infrared and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign. 

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~3x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x2289f64e11a3c6a3e23d5f0c705bb0bb7661278a,Ethena Staked USDe-USDC LP Token,sUSDe-USDC,18,6739384117017539054,6.739384117017539054,14442552.48016149,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,433783970572035337500000000,433783970.5720353375
1_0_0x3d7cf2bd0a04fd3c66a5fa334a399b3926efe0fc0450b8da49a5da29f2c36d7f,Supply sUSDe to Concrete x Ethena Vault,"When sUSDe is supplied to this market, it is allocated across leading Berachain DEXs and lending applications such as Kodiak, Dolomite, and Beraborrow. The vault will also allocate to yield opportunities from leading protocols expanding to Berachain. This is part of the Berachain Boyco pre-deposit campaign.",7776000,1-0x9d39a5de30e57443bff2a8307a4256c8797a3497,Ethena Staked USDe,sUSDe,18,43103173817593613605270409,43103173.817593613605270409,49456054.24173746,1-0x5f979f9f7024b41c325a7a39c89cd65e5f6a5f6d,Concrete Boyco Bags,CBAGS,18,51292776652936399113952000,51292776.652936399113952
1_0_0x42a09eccabf1080c40a24522e9e8adbee5a0ad907188c9b6e50ba26ba332eac3,Supply SBTC on Dolomite,Supply SBTC into the Dolomite money market on Berachain. This asset will earn lending yield.,7776000,1-0x094c0e36210634c3cfa25dc11b96b562e0b07624,StakeStone Bitcoin,SBTC,18,25091185181255647463,25.091185181255647463,2355037.6325933468,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,167202123350709700950700,167202.1233507097009507
1_0_0x092c0c4d8d124fc29364e8cd8417198c4bbe335e3f6c4b1f79215a3457b4831a,Supply sUSDe on Dolomite,Supply sUSDe into the Dolomite money market on Berachain. This asset will be collateral only.,7776000,1-0x9d39a5de30e57443bff2a8307a4256c8797a3497,Ethena Staked USDe,sUSDe,18,26346235247410191261041,26346.235247410191261041,30229.347958818995,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,731839867983614000000,731.839867983614
1_0_0x0964848864e96952ee2454ce58fc93b867f9b2d9a6b44216eec8b08726813d1b,"D2 Finance dgnBeraland, Boyco","dgnBeraland is a one-click solution for 1-3x leveraged upside exposure to BERA, while staying protected from market swings. By fully leveraging partners like Beraborrow, IVX, and OOGA Booga, the strategy delivers sophisticated leverage through options + additional yield, while D2 actively manages positions.

What sets dgnBeraland apart is its options-based strategy, turning market movements into opportunities for bigger gains. Unlike traditional BERA staking or vanilla leverage, it combines smart risk management with advanced tools to optimize returns.",2592000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,690000000000,690000.0,689723.5907046596,1-0x6a8b97bd31394075cb6dbd88dbb65808575b1a48,D2 Finance EDA incetives,EDA points,18,689999999999999946180000,689999.99999999994618
1_0_0xbd3ef685577bdca03225bb2cd2158f0772cdfd694ba03b9eb4856b59a7288081,Supply solvBTC.bbn into Goldilocks,"Goldilocks&#x27; yield splitting vaults enable users to trade the future earnings of yield bearing positions. Users can deposit assets into a yield splitting vault, and the vault will automatically use the assets to create yield bearing positions on supported platforms. Their Boyco markets will yield-split half of deposited assets, and LP the remainder against the OT (Ownership Token). Deposit solvBTC.bbn on Ethereum Mainnet and bridge the asset to Berachain. On Berachain, mint solvBTC.bbn-OT and solvBTC.bbn-YT with a portion of the solvBTC.bbn via Goldilocks, then pair the minted solvBTC.bbn-OT and remaining solvBTC.bbn to provide liquidity in the solvBTC.bbn&lt;&gt;solvBTC.bbn-OT Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position.",7776000,1-0xd9d920aa40f578ab794426f5c90f6c731d159def,SolvBTC.BBN,SolvBTC.BBN,18,562734362324445213,0.562734362324445213,54675.529003179996,1-0x3b7795688ea8c095600bae9d6d866d04c230ba16,Goldilocks PRG,PRG,18,22509374492977784000000,22509.374492977784
1_0_0xc182b0267a6ca015c2d2a144ca19e1f6b36479675754914002e0613320ed8d9a,Beraborrow ylstETH Boyco,"Single sided Liquid Stability Pool: 
Deposit ylstETH into Boyco. ylstETH is bridged &amp; deposited into Beraborrow. ylstETH is then used to mint NECT at 300% collateral ratio, and then NECT is supplied into the Liquid Stability Pool.
This is part of the Berachain Boyco pre-deposit campaign.",7776000,1-0xb13aa2d0345b0439b064f26b82d8dcf3f508775d,CIAN yield layer stETH,ylstETH,18,1499196860650631086763,1499.196860650631086763,4268170.940991017,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,199923961967718460600000000,199923961.9677184606
1_0_0x0484203315d701daff0d6dbdd55c49c3f220c3c7b917892bed1badb8fdc0182e,Veda x Ether.fi weETH Vault - wETH Supply,"After mainnet, vaults will run DeFi strategies on Berachain protocols participating in Boyco. Examples of applications include: Kodiak, Infrared, and Dolomite. wETH supplied will be paired against weETH on mainnet for DeFi usage.",7776000,1-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,18,37790680586878421008160,37790.68058687842100816,108009184.50255945,1-0x3badc21d6bff9248ae4c3923093e04d505a52fef,Veda Crayons,VCrayons,18,102034834887571682700000000,102034834.8875716827
1_0_0x219169d9e78064768cddd0397c2202dc9e5c2bc0e1dbc13465363b0458d33c34,Provide beraETH-ylstETH Liquidity on Kodiak,"Deposit WETH-ylstETH Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, mint beraETH with all of the WETH, then provide liquidity in the beraETH-ylstETH Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Cian, Dinero, and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.    

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~1x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0xab2f42fed7f2c1aed5ca8a20139313abea74790b,CIAN yield layer stETH-WETH LP Token,ylstETH-WETH,18,3392620872881704412,3.392620872881704412,19357.90480739831,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,216577469706826000000000,216577.469706826
1_0_0x2a3a73ba927ec6bbf0e2e12e21a32e274a295389ce9d6ae2b32435d12c597c2c,Supply solvBTC.bbn on Dolomite,Supply solvBTC.bbn into the Dolomite money market on Berachain. This asset will be collateral only.,2592000,1-0xd9d920aa40f578ab794426f5c90f6c731d159def,SolvBTC.BBN,SolvBTC.BBN,18,395867654286333637004,395.867654286333637004,38462683.0392032,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,297180124035006849189960,297180.12403500684918996
1_0_0xc5165360e2e8b195cb55e21cf259ce6a5ee996b055057d8705851d9b01fc8620,Provide FBTC-SolvBTC Liquidity on Kodiak,"Deposit FBTC-SolvBTC Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, provide liquidity in the FBTC-SolvBTC Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Ignition, Solv, and Kodiak. This is part of the Berachain'&#x27;'s Boyco pre-deposit campaign. 

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier. This specific market has a ~1x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0xbc15ddb819ce347f8a67b5485910b8a37911f283,SolvBTC-Ignition LP Token,SolvBTC-FBTC,18,90661462903,0.000000090661462903,882.6490653331998,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,18451569685687600000000,18451.5696856876
1_0_0x62bb6fb784e059f338340a9724b35ef2ef8fde5e65613e9fcaacd097d81dc67e,Provide NECT-HONEY Liquidity on Kodiak,"Deposit USDC on Ethereum Mainnet and bridge USDC to Berachain. On Berachain, mint HONEY with ~50% of the USDC and mint NECT with ~50% of the USDC, then provide liquidity in the NECT-HONEY Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.",7776000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,7271900813646,7271900.813646,7268987.739762398,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,872628097637519535600000000,872628097.6375195356
1_0_0xab37ea8895eed81c4aa76d5dba64441756904b15e78f6ffa5183b0fc1563c1c5,"Infrared x Kodiak, WBTC-WETH LP","Deposit WBTC-WETH Uniswap V2 LP token(s) on Ethereum Mainnet and bridge the assets to Berachain. On Berachain, provide liquidity in the WBTC-WETH Kodiak Island, an automated liquidity management vault that tokenizes a &quot;&quot;wide&quot;&quot; range Uniswap V3 style liquidity position. Finally, stake the Island receipt token in the respective Infrared iBGT-compatible Vault. 

Earn DEX LP fees, as well as rewards from Berachain, Infrared and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign. This market qualifies for the HIGHEST multiplier rewards from Berachain. 

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~10x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0xbb2b8038a1640196fbe3e38816f3e67cba72d940,Wrapped Bitcoin-WETH LP Token,WBTC-WETH,18,20975416739999999,0.020975416739999999,89903634.52948248,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,9999999999999995400000000000,9999999999.9999954
1_0_0x460ec133419318efe4e05b4c3b6db421503fd6fcefbb20a43f50e3fc50f2ee39,Provide rsETH-ylrsETH Liquidity on Kodiak,"Deposit rsETH-ylrsETH Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, provide liquidity in the rsETH-ylrsETH Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Cian, Kelp, and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.    

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~1x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x761c035187d3670dad9cdaeca7d5591d79268a13,Kelp DAO Restaked ETH-CIAN yield layer rsETH LP Token,RSETH-ylrsETH,18,970990003182485880,0.97099000318248588,5790.446641317596,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,63418587809752650000000,63418.58780975265
1_0_0xcdb30c06ea11f3f5408bce5eefdb392dfe0008ef81af3a486bcfed891f9cc112,Provide rUSD-HONEY Liquidity on Kodiak,"Deposit rUSD-USDC Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, mint HONEY with all of the USDC, then provide liquidity in the rUSD-HONEY Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Reservoir, and Kodiak. This is part of the Berachain'&#x27;'s Boyco pre-deposit campaign.    

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier. This specific market has a ~2x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0xb2c5d104f481d0beb056842bd5312be6fd831429,Reservoir Stablecoin-USDC LP Token,rUSD-USDC,18,8499998980708508194,8.499998980708508194,8486702.379251722,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,340005161057740614000000000,340005161.057740614
1_0_0xa74b61544834483b093531cff533d01788a5dea12d8a83902646111025303bfb,Provide WBTC-pumpBTC.bera Liquidity on Kodiak,"Deposit WBTC-pumpBTC.bera Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, provide liquidity in the WBTC-pumpBTC.bera Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, PumpBTC, and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.     

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~2x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x8460de55c1d491fb0fde1bd3e40c1319be4dceed,Wrapped Bitcoin-pumpBTC.bera LP Token,WBTC-pumpBTC.bera,18,1367904290,0.00000000136790429,2615561.752252961,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,55266627206981529600000000,55266627.2069815296
1_0_0x258ac521d801d5112a484ad1b82e6fd2efc24aba29e5cd3d56db83f4a173dc90,Supply beraETH on Dolomite,"Supply beraETH into the Dolomite money market on Berachain. ETH supplied on Mainnet will be bridged to Berachain, then minted into beraETH. This asset will earn lending yield.",2592000,1-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,18,336658628463398764862,336.658628463398764862,962200.8217737006,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,22443908564226577500000,22443.9085642265775
1_0_0x289dc2a22ebb4ef7404de9293b6718d9f81f0843e1af4cf9a9c51d2e757348d6,Provide WBTC-SBTC Liquidity on Kodiak,"Deposit WBTC-SBTC Uniswap V2 LP token(s) on Ethereum Mainnet and bridge these assets to Berachain. On Berachain, provide liquidity in the WBTC-SBTC Kodiak Island, an automated liquidity management vault that tokenizes a &quot;concentrated&quot; range Uniswap V3 style liquidity position. 

Earn DEX LP fees, as well as rewards from Berachain, Stakestone, and Kodiak. This is part of the Berachain&#x27;s Boyco pre-deposit campaign.  

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~2x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x032a6c903e588d9548875bef3b23daf912f4f7e4,StakeStone Bitcoin-Wrapped Bitcoin LP Token,SBTC-WBTC,18,203623829759832,0.000203623829759832,3894021.359759254,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,82265606722621201680000000,82265606.72262120168
1_0_0xb1d5ccc4388fe639f8d949061bc2de95ecb1efb11c5ceb93bdb71caab58c8aa3,Supply solvBTC on Dolomite,Supply solvBTC into the Dolomite money market on Berachain. This asset will earn lending yield.,7776000,1-0x7a56e1c57c7475ccf742a1832b028f0456652f97,SolvBTC,SolvBTC,18,301766442016311108545,301.766442016311108545,29362580.863970146,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,905377927379661607356000,905377.927379661607356
1_0_0xb27f671bc0dd8773a25136253acd72150dd59e50e44dc8439e9dc5c84c2b19f6,Supply STONE on Dolomite,Supply STONE into the Dolomite money market on Berachain. This asset will be collateral only.,7776000,1-0x7122985656e38bdc0302db86685bb972b145bd3c,StakeStone ETH,STONE,18,787605529200183107551,787.605529200183107551,2338014.889486036,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,105015533350231540030492,105015.533350231540030492
1_0_0xd77d3e3e075394a6c94a8c83dab114bb7266b96c5234e4a98476f41339029c30,Beraborrow beraETH Boyco,"Single sided Liquid Stability Pool: 
Deposit beraETH into Boyco. beraETH is bridged &amp; deposited into Beraborrow. beraETH is then used to mint NECT at 300% collateral ratio, and then NECT is supplied into the Liquid Stability Pool.
This is part of Berachain Boyco pre-deposit campaign.",7776000,1-0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,WETH,18,86387925793277567654,86.387925793277567654,246904.50848983412,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,11445033425716266200000000,11445033.4257162662
1_0_0x28b337bd45eda5e2fc596bfe22320bef0af9da85d4c770d0fd03ddf72428c00a,Beraborrow SolvBTC Boyco,"Single sided Liquid Stability Pool:
Deposit SolvBTC into Boyco. SolvBTC is bridged &amp; deposited into Beraborrow. SolvBTC is then used to mint NECT at 300% collateral ratio, and then NECT is supplied into the Liquid Stability Pool.
This is part of Berachains Boyco pre-deposit campaign.",7776000,1-0x7a56e1c57c7475ccf742a1832b028f0456652f97,SolvBTC,SolvBTC,18,400067613565820646362,400.067613565820646362,38927514.855170734,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,1601910206149025924000000000,1601910206.149025924
1_0_0xfe95d44ab171140b66fb5180e9de765578d9d2bfbdbb66307abb86ba05a59e93,Beraborrow pumpBTC Boyco,"Single sided Liquid Stability Pool:
Deposit pumpBTC into Boyco. pumpBTC is bridged &amp; deposited into Beraborrow. pumpBTC is then used to mint NECT at 300% collateral ratio, and then NECT is supplied into the Liquid Stability Pool.
This is part of the Berachain Boyco pre-deposit campaign.",7776000,1-0xadc9c900b05f39f48bb6f402a1bae60929f4f9a8,pumpBTC.bera,pumpBTC.bera,8,218040970501,2180.40970501,204651429.28387323,1-0xfbca1de031ac44e83850634c098f22137e4647e5,Beraborrow Points Program,bPOLLEN,18,8764876074567335150000000000,8764876074.56733515
1_0_0x027987432679079fbbc990691d14dabe7f7780f51df6a1a53e7bd875b1f9581a,"D2 Finance Kodiak++, Boyco","Kodiak++ is the Berachain evolution of our flagship ETH++ strategy, fine-tuned for BGT yield maximization. 

At its core, the strategy integrates looping mechanics through Dolomite and BERABorrow to dynamically optimize exposure and capital efficiency. Building on ETH++’s stellar 120% ROI track record in 2024, Kodiak++ adds a layer of advanced options-based risk management, ensuring superior returns while minimizing downside exposure. 

It’s the ultimate strategy for those seeking high-yield opportunities in the Berachain ecosystem.",7776000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,256443098540,256443.09854,256340.369183243,1-0x6a8b97bd31394075cb6dbd88dbb65808575b1a48,D2 Finance EDA incetives,EDA points,18,256443098540000000000000,256443.09854
1_0_0x9778047cb8f3740866882a97a186dff42743bebb3ad8010edbf637ab0e37751f,Supply HONEY on Dolomite x Infrared,Supply HONEY into the Dolomite money market on Berachain. This asset will earn lending yield and be eligible for potential Infrared incentives.,7776000,1-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,6,11140052952681,11140052.952681,11135590.323424906,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,1002604765741290000000000,1002604.76574129
1_0_0x6262ac035c2284f5b5249a690a6fd81c35f1ecef501da089f25741a4492cf5f3,Infrared x Kodiak WBTC-HONEY LP,"Deposit WBTC-USDC Uniswap V2 LP token(s) on Ethereum Mainnet and bridge the assets to Berachain. On Berachain, mint HONEY with all of the USDC, then provide liquidity in the WBTC-HONEY Kodiak Island, an automated liquidity management vault that tokenizes a &quot;wide&quot; range Uniswap V3 style liquidity position. Finally, stake the Island receipt token in the respective Infrared iBGT-compatible Vault. 

Earn DEX LP fees, as well as rewards from Berachain, Infrared and Kodiak. 

This is part of the Berachain&#x27;s Boyco pre-deposit campaign. This market qualifies for the HIGHEST multiplier rewards from Berachain. 

3% of the Kodiak token supply is allocated to Boyco, proportional to TVL * multiplier.  This specific market has a ~12x multiplier for Bodiak points. More info on Kodiak's Boyco rewards: https://docs.kodiak.finance/kodiak-boyco",7776000,1-0x004375dff511095cc5a197a54140a24efef3a416,Wrapped Bitcoin-USDC LP Token,WBTC-USDC,18,268364511120,0.00000026836451112,30344695.728500642,1-0x31dd27d7479b09f1c96aa94681845c0eb0026ef8,Kodiak Boyco Points,BODIAK,18,3771062371558715424000000000,3771062371.558715424
1_0_0xa6905c68ad66ea9ce966aa1662e1417df08be333ab8ec04507e0f0301d3a78e9,Supply wBTC on Dolomite x Infrared,Supply wBTC into the Dolomite money market on Berachain. This asset will earn lending yield and be eligible for potential Infrared incentives.,7776000,1-0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped Bitcoin,WBTC,8,20098295660,200.9829566,19564643.618888192,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,803931826399999749000000,803931.826399999749
1_0_0xc6887dddd833a3d585c7941cd31b0f8ff3ec5903d49cd5e7ac450b46532d3e79,Supply stBTC on Dolomite,Supply stBTC into the Dolomite money market on Berachain. This asset will be collateral only.,2592000,1-0xf6718b2701d4a6498ef77d7c152b2137ab28b8a3,Lorenzo stBTC,stBTC,18,250000000000000000000,250.0,24408499.677169852,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,299999999999999999100000,299999.9999999999991
1_0_0xd10bdc88272e0958baa62a4ae2bfce1d8feed639a93e03c0aa5cec7adfbdf2c3,Suppy uniBTC on Dolomite,Supply uniBTC into the Dolomite money market on Berachain. This asset is collateral only.,2592000,1-0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,Universal BTC,UNIBTC,8,6256105300,62.561053,5985778.989987,1-0x460f8d9c78b1bde7da137ce75315bd15d34a369b,Dolomite veDOLO Points,veDOLO-P,18,104268421666666660250000,104268.42166666666025
